date,corner,menu
2025-06-30,E4,콩나물불고기/잡곡밥/시래기된장국/계란찜/건파래자반
2025-06-30,D2,황태미역국밥/쌀밥/두부김치/연근조림/오이양파무침
2025-06-30,E3,콘치즈김치볶음밥/우동국물/레몬파닭/오복지무침
2025-06-30,E2,알리오올리오오일파스타/닭봉&닭윙/수제무피클/탄산음료3종
2025-06-30,E1,얼큰나가사끼라멘/대왕유부초밥/타코야끼/짜사이무침
2025-06-30,D3,치즈미트볼샐러드/디톡스워터
2025-07-01,E4,NEW 항정살감자솥밥/콩나물국/마늘종건새우볶음/무말랭이무침/도시락김
2025-07-01,D2,우삼겹된장전골/쌀밥/고둥어구이/미역줄기볶음/노각부추무침
2025-07-01,E3,레드커리제육덮밤/김치유부국/핫도그*더블소스/깍뚝단무지
2025-07-01,E2,[브랜드테이블]고피자&오리지널페페로니피자/코울슬로/탄산음료3종/피클*소스
2025-07-01,E1,명태회메일막국수/냉면육수/비비고왕교자만두찜/산고추지
2025-07-01,D3,갈릭쉬림프샐러드/디톡스워터
2025-07-02,E4,비비고떡갈비정식*버섯구이/잡곡밥/꽃게된장찌개/도토리묵무침/긍채장아찌
2025-07-02,D2,동태알탕/쌀밥/도틈고기완자전/총알새송이버섯볶음/깨잎장아찌
2025-07-02,E3,통가래떡떡볶이/꼬치어묵국/김말이튀김&쩐순대/얇은단무지
2025-07-02,E2,치즈듬백오븐파스타/새우볼샐러드/피클&할라피뇨/탄산음료3종
2025-07-02,E1,[브랜드테이블]제주면장고기국수/오미산적&고추튀김/후리가케밥/배추겉절이
2025-07-02,D3,*포케DAY* 그릴드닦가슴살포케/디톡스워터
2025-07-03,E4,마늘듬뿐닮볶음탕/잡곡밥/오이냉국/온두부찜*양념장/참나물겉절이
2025-07-03,D2,[브랜드테이블]땅스부대찌개/쌀밥/고기쨋잎전/사각어묵볶음/콩나물무침
2025-07-03,E3,왕새우에비동/팽이장국/고구마떡맛탕/코울슬로/락교&산고추지
2025-07-03,E2,[브랜드테이블]고피자&크레이지미트피자/코울슬로/탄산음료3종/피클*소스
2025-07-03,E1,잔치국수/매콤연탄불고기/소떡소떡/반달단무지
2025-07-03,D3,타이누들샐러드/디톡스워터
2025-07-04,E4,우렇강된장짜글이&바짝돼지불고기/보리밥/나박물김치/모듬쌈(알배기&상추&껏잎)*쌈장
2025-07-04,D2,얼큰소고기만두전골/쌀밥/감자채전/호박새우젓나물/고추지무침
2025-07-04,E3,"[브랜드테이블]""멕시카나""땡초치킨/김가루주먹밥/치킨무/탄산음료 3종"
2025-07-04,E2,까르보나라파스타/토마토카프레제샐러드/피클&할라피뇨/탄산음료3종
2025-07-04,E1,짜계치/어묵국/어니언치킨가라아게/꼬들단무지
2025-07-04,D3,풀드포크샐러드/디톡스워터
